track_id,track_name,artist_id,artist_name,album_id,album_name,album_release_date,release_date_precision,popularity,duration_ms,explicit,source,source_id
5lr877wwUsB8inLGywHKxa,Caile,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2QtRthdUjkWEBAp5guyNLJ,Caile,2016-12-25,day,73,300187,True,artist,Bad Bunny
1Bqg4yFeVDJxchh6MjkGKy,Chambea,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3cNcI17xidck0JlZrNUpXw,Chambea,2017-12-01,day,69,192001,True,artist,Bad Bunny
38UYeBLfvpnDSG9GznZdnL,Tormenta (feat. Bad Bunny),3AA28KZvwAUcZuOKwyblJQ,Gorillaz,4wtZQMNTC1O79kDxMBsEan,Cracker Island,2023-02-24,day,69,193463,True,artist,Bad Bunny
3X5M53Xi5k1SijRtZMM3TA,Te Boté - Remix,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,1BBjdKgGAqwdEvcvqBOGfT,Now Or Never,2020-07-24,day,65,417920,True,artist,Bad Bunny
6NfrH0ANGmgBXyxgV2PeXt,La Difícil,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,71,163084,True,artist,Bad Bunny
2sTDlCxmuZCTDKKk9f1qus,WHERE SHE GOES,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4FftCsAcXXD1nFO9RFUNFO,nadie sabe lo que va a pasar mañana,2023-10-13,day,70,231704,True,artist,Bad Bunny
26w9NTiE9NGjW1ZvIOd1So,BOOKER T,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,74,156430,True,artist,Bad Bunny
5DxXgozhkPLgrbKFY91w0c,Vete,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3fxzSn0ObgCjLadyR53ohN,Vete,2019-11-21,day,70,192024,True,artist,Bad Bunny
28GCbKgjlVD9eDmasGbe0T,Me Fui de Vacaciones,4q3ewBCX7sLwd24euuV69X,Bad Bunny,3RQQmkQEvNCY4prGKE6oc5,Un Verano Sin Ti,2022-05-06,day,74,180929,False,artist,Bad Bunny
5n2XTRsYFlZwNBp06KAjDX,Madura,00me4Ke1LsvMxt5kydlMyU,Cosculluela,4joZeRAHwOmcWtVc8s7z5t,Madura,2018-04-13,day,75,190995,False,artist,Bad Bunny
51Awtxah1bdEZCnUP3i70E,un x100to,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,6Zk9W9Ab3CnhttW5nBOUnY,El Comienzo,2023-08-25,day,69,194563,False,artist,Bad Bunny
0fgsKar6uBO08vzHXkTjWi,P FKN R,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,62,258280,True,artist,Bad Bunny
7FfpP3YZ6fOWMdxkIAtud9,Krippy Kush,329e4yvIujISKGKz1BZZbO,Farruko,0v94MG5nbp4w6xdeFkfQrA,TrapXficante,2017-09-15,day,64,230520,True,artist,Bad Bunny
6pZHZndlo57dPCYnvlYFOE,RLNDT,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,day,64,284852,True,artist,Bad Bunny
5XqCz18k96K8tx6DAYM97i,PA' ROMPERLA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,4gvQO5mEuhbMSrLIuwXkmz,LAS QUE NO IBAN A SALIR,2020-05-10,day,65,194200,True,artist,Bad Bunny
05bfbizlM5AX6Mf1RRyMho,AM Remix,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,1jTRS4KS666BesH1GUHyEV,AM Remix,2021-06-24,day,67,261334,True,artist,Bad Bunny
1V8XneTrX6kKeoxYbk4x6h,Hablamos Mañana,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5lJqux7orBlA1QzyiBGti1,YHLQMDLG,2020-02-29,day,69,240253,False,artist,Bad Bunny
5fROvzNghPid8mbKNDYvpJ,YO VISTO ASÍ,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,65,191526,False,artist,Bad Bunny
5jGUJXnELDaDTgiRjD9lsg,200 Mph,4q3ewBCX7sLwd24euuV69X,Bad Bunny,7CjJb2mikwAWA1V6kewFBF,X 100PRE,2018-12-23,day,63,170509,True,artist,Bad Bunny
4Ixc50wY5pbUvNEogTQ2wL,100 MILLONES,4q3ewBCX7sLwd24euuV69X,Bad Bunny,5nqsQ0kfgdhrN8is8FR2rP,100 MILLONES,2021-05-28,day,65,237459,True,artist,Bad Bunny
67ACYA3UI6QMNtHX6b34wX,LA DROGA,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020-11-27,day,69,162299,True,artist,Bad Bunny
6U2NuJILEOEpW2tVCuqKHb,Dura - Remix,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,5XGcXkkiPQIgaNSDANurj7,Dura (Remix),2018-04-27,day,63,242160,False,artist,Bad Bunny
